date,open,high,low,close,volume,amount,MA60,MA200
2024-01-02,24.6330337500,24.6418470000,24.2893170000,24.3069435,54219480,1500865547.8700,,
2024-01-03,24.3069435000,24.5360880000,24.2540640000,24.47439525,43395588,1200383623.7000,,
2024-01-04,24.4655820000,24.5272747500,24.1130520000,24.50964825,63710249,1759101592.9000,,
2024-01-05,24.4567687500,25.3645335000,24.3421965000,24.93268425,119063315,3376466446.9300,,
2024-01-08,24.8269252500,25.1970817500,24.6330337500,24.79167225,81682070,2305065735.9200,,
2024-01-09,24.7828590000,24.9238710000,24.5889675000,24.82692525,55866306,1569684230.0200,,
2024-01-10,24.6947265000,24.9855637500,24.6947265000,24.72116625,45364048,1277638873.0900,,
2024-01-11,24.6771000000,25.1794552500,24.5449012500,25.0120035,73531826,2082611271.5300,,
2024-01-12,24.9062445000,25.3645335000,24.9062445000,25.1530155,57783201,1652242625.5500,,
2024-01-15,25.1177625000,25.5055455000,25.0031902500,25.35572025,48245229,1383953760.3600,,
2024-01-16,25.2323347500,25.6729972500,25.2058950000,25.67299725,85344024,2469511282.1300,,
2024-01-17,25.6641840000,26.0695935000,25.5848647500,25.72587675,130860146,3843478823.4400,,
2024-01-18,25.5055455000,26.1577260000,25.2058950000,26.0695935,129512645,3762050845.8400,,
2024-01-19,25.8845152500,26.3516175000,25.6818105000,26.20179225,96861623,2865398411.8300,,
2024-01-22,26.2282320000,26.8804125000,26.1753525000,26.66008125,154970267,4691297099.7000,,
2024-01-23,26.4485632500,26.7482137500,26.2634850000,26.43093675,88605552,2661547376.0900,,
2024-01-24,26.5719487500,26.6953342500,25.8933285000,26.51906925,97489239,2904947629.0400,,
2024-01-25,26.7129607500,27.3210750000,26.5983885000,27.2329425,123450922,3791899866.2500,,
2024-01-26,27.2505690000,27.6295387500,27.0214245000,27.426834,100991578,3132788305.0600,,
2024-01-29,27.4973400000,27.8498700000,27.4709002500,27.62953875,83882433,2632393040.2100,,
2024-01-30,27.4973400000,27.7617375000,27.1271835000,27.321075,74399913,2316762500.3000,,
2024-01-31,27.2505690000,27.4885267500,26.9597317500,27.06549075,80894928,2494516011.2800,,
2024-02-01,27.0302377500,27.1800630000,26.6160150000,26.8099065,85970009,2621519217.6100,,
2024-02-02,26.8363462500,27.0214245000,26.1224730000,26.64245475,98729165,2986530107.5800,,
2024-02-05,26.6424547500,27.2770087500,26.4926295000,27.06549075,106397881,3246673368.0400,,
2024-02-06,27.0654907500,27.6295387500,26.9685450000,27.61191225,106215843,3296036540.0800,,
2024-02-07,27.6912315000,27.7441110000,27.1536232500,27.59428575,111051058,3458135329.4600,,
2024-02-08,27.5942857500,27.7176712500,27.3387015000,27.673605,87300436,2728137528.1500,,
2024-02-19,28.1935867500,28.1935867500,27.6824182500,27.8674965,87549010,2770406837.2900,,
2024-02-20,27.8674965000,27.8674965000,27.5766592500,27.673605,60640469,1907541533.1800,,
2024-02-21,27.6736050000,29.4274417500,27.6295387500,29.083725,152865612,5003152628.4700,,
2024-02-22,28.9162732500,29.0396587500,28.5461167500,28.90746,75276038,2461009464.7500,,
2024-02-23,28.9162732500,29.4362550000,28.7488215000,29.03965875,63984872,2118316306.6900,,
2024-02-26,28.9603395000,29.1366045000,28.2729060000,28.42273125,66639018,2163023086.8600,,
2024-02-27,28.4139180000,28.5549300000,28.1935867500,28.3610385,54349154,1746108592.0200,,
2024-02-28,28.4579842500,28.4579842500,27.8498700000,28.2200265,68370752,2186677932.3700,,
2024-02-29,28.1054542500,28.3786650000,28.0702012500,28.237653,49892829,1595634178.3500,,
2024-03-01,28.1318940000,28.2729060000,27.9820687500,28.1495205,42717392,1361853700.9900,,
2024-03-04,27.9908820000,28.0878277500,27.7352977500,27.779364,59135015,1868022543.5900,,
2024-03-05,27.6912315000,28.3874782500,27.5942857500,28.3610385,89402867,2850224114.4100,,
2024-03-06,28.3257855000,28.4315445000,28.0878277500,28.08782775,51610177,1655425115.4700,,
2024-03-07,28.0878277500,28.3169722500,28.0085085000,28.2024,51949197,1659111448.5000,,
2024-03-08,28.1054542500,28.2112132500,27.8058037500,27.91156275,44107117,1399732268.5700,,
2024-03-11,27.8058037500,27.9820687500,27.4973400000,27.744111,73853794,2318402185.3300,,
2024-03-12,27.6912315000,28.3345987500,27.5678460000,28.15833375,76925375,2447163517.3000,,
2024-03-13,28.1671470000,28.1935867500,27.7000447500,27.779364,46938714,1482651383.6900,,
2024-03-14,27.7264845000,27.9556290000,27.4620870000,27.54140625,50817498,1595073269.3300,,
2024-03-15,27.5325930000,27.6912315000,27.3210750000,27.4797135,52078063,1621589212.6400,,
2024-03-18,27.4532737500,27.6207255000,27.3210750000,27.43564725,46189770,1436837360.4700,,
2024-03-19,27.4092075000,27.4180207500,27.0831172500,27.14481,54702530,1688506946.3700,,
2024-03-20,27.1448100000,27.4973400000,27.0214245000,27.4797135,49827225,1544956630.5400,,
2024-03-21,27.4709002500,27.9908820000,27.3651412500,27.80580375,64676108,2040298376.2500,,
2024-03-22,27.7881772500,27.8058037500,27.2329425000,27.49734,55287852,1722145155.5100,,
2024-03-25,27.4180207500,27.7705507500,27.2505690000,27.62953875,48375902,1514858504.9500,,
2024-03-26,28.0261350000,28.7840745000,27.9644422500,28.55493,124430791,4014510510.1200,,
2024-03-27,28.4579842500,28.7752612500,28.3874782500,28.4667975,78208488,2539984050.4500,,
2024-03-28,28.5020505000,28.6430625000,28.2640927500,28.3610385,69474492,2242513221.6500,,
2024-03-29,28.2905325000,28.7664480000,28.2640927500,28.378665,51400131,1663236764.0500,,
2024-04-01,28.3610385000,28.9515262500,28.3610385000,28.766448,57015232,1861582315.8200,,
2024-04-02,28.8193275000,29.0132190000,28.5901830000,28.68712875,53661899,1753251096.9900,,
2024-04-03,28.6783155000,28.7576347500,28.4051047500,28.40510475,49808163,1612691615.9600,,
2024-04-08,28.4139180000,28.6959420000,28.2288397500,28.55493,47729123,1544564957.2600,,
2024-04-09,28.6430625000,28.7576347500,28.4756107500,28.47561075,38477207,1248965234.8900,,
2024-04-10,28.3698517500,28.8017010000,28.3698517500,28.63424925,50401372,1638691786.1600,,
